0.539	34.69	0.5	10	3	3	0.67	0.15
0.589	18.70	0.93	15	1	1	0.67	0.03
0.539	79.12	0.3	30	3	3	0.67	0.15
0.488	18.31	0.2	4	3	2	0.66	0.1
0.391	34.72	0.4	5	3	1	0.37	0.1
0.428	40.72	0.22	10	3	3	0.61	0.1
0.382	13.82	0.25	10	3	2	0.4	0.15
0.447	22.17	0.36	5	3	3	0.52	0.1
0.43	28.14	0.45	7	3	2	0.44	0.2
0.477	21.74	0.6	20	2	3	0.52	0.08
0.395	10.48	0.1	10	1	3	0.44	0.15
0.528	32.03	0.25	5	3	3	0.59	0.05
0.565	16.70	0.6	7	3	2	0.64	0.25
0.458	30.80	0.3	6	3	3	0.51	0.1
0.524	19.20	0.6	15	1	2	0.58	0.25
0.493	37.62	0.22	30	2	3	0.66	0.34
0.522	18.98	0.5	4	3	2	0.66	0.3
0.572	13.03	0.2	6	3	2	0.68	0.16
0.534	100.00	0.16	20	1	3	0.74	0.2
0.489	11.80	0.1	15	2	3	0.6	0.25
0.452	31.36	0.2	8	3	3	0.6	0.1
0.434	37.55	0.12	8	3	3	0.5	0.1
0.416	16.78	0.15	5	3	3	0.55	0.1
0.454	9.39	0.1	20	1	3	0.6	0.2
0.528	21.78	0.25	21	2	3	0.65	0.1
0.511	29.56	0.11	15	3	3	0.65	0.15
0.401	12.90	0.2	15	2	3	0.45	0.1
0.443	10.70	0.25	7	3	2	0.48	0.15
0.488	14.02	0.3	21	3	2	0.48	0.2
0.49	20.30	0.21	25	3	3	0.55	0.1
0.575	13.09	0.62	7	3	3	0.65	0.38
0.575	13.00	0.21	20	2	3	0.64	0.15
0.533	14.23	0.35	14	2	3	0.62	0.31
0.571	9.17	0.8	1	3	2	0.64	0.36
0.487	14.07	0.2	25	1	3	0.65	0.2
0.533	14.04	0.25	25	2	3	0.65	0.15
0.499	18.89	0.35	6	3	3	0.65	0.4
0.55	8.77	0.15	4	3	2	0.65	0.1
0.533	10.45	0.2	8	3	2	0.63	0.14
0.561	9.59	0.6	10	3	3	0.65	0.21
0.51	13.46	0.5	6	3	2	0.6	0.22
0.534	8.85	0.5	11	3	2	0.56	0.33
0.458	43.61	0.15	12	3	3	0.52	0.2
0.523	65.44	0.07	40	2	3	0.72	0.1
0.376	6.62	0.1	3	2	3	0.68	0.25
0.461	14.41	0.15	20	1	3	0.55	0.08
0.364	31.89	0.15	12	2	3	0.54	0.05
0.432	19.03	0.1	9	2	3	0.56	0.1
0.586	12.84	0.1	15	3	3	0.77	0.2
0.566	10.42	0.1	11	2	3	0.74	0.2
0.476	14.55	0.2	15	3	3	0.53	0.2
0.509	37.66	0.15	12	3	1	0.63	0.2
0.514	15.95	0.15	5	3	3	0.62	0.07
0.444	8.64	0.07	3	2	3	0.75	0.03
